FrameCount,XMin,YMin,Width,Height,AirSpeed,GroundSpeed,Heading,ThrottlePercentage,Altitude,Climb,GPS_timestamp,GPS_lattitude,GPS_longitude,GPS_altitude,GPS_relative_altitude,GPS_velocityX,GPS_velocityY,GPS_velocityZ,GPS_heading
2234,2.8026e-45,1.47103e+11,-3.21377e+19,0,0.52,0.52,200,40,15.63,-0.46,320316,22.3053,39.1068,24.14,15.74,0.022,0.032,-0.025,19999
2235,2.8026e-45,1.47103e+11,-3.21377e+19,0,0.52,0.52,200,40,15.63,-0.46,320316,22.3053,39.1068,24.14,15.74,0.022,0.032,-0.025,19999
2236,2.8026e-45,1.47103e+11,-3.21377e+19,0,0.52,0.52,200,40,15.63,-0.46,320316,22.3053,39.1068,24.14,15.74,0.022,0.032,-0.025,19999
2237,2.8026e-45,1.47103e+11,-3.21377e+19,0,0.52,0.52,200,40,15.63,-0.46,320316,22.3053,39.1068,24.14,15.74,0.022,0.032,-0.025,19999
2238,2.8026e-45,1.47103e+11,-3.21377e+19,0,0.52,0.52,200,40,15.63,-0.46,320316,22.3053,39.1068,24.14,15.74,0.022,0.032,-0.025,19999
2239,2.8026e-45,1.47103e+11,-3.21377e+19,0,0.52,0.52,200,40,15.63,-0.46,320316,22.3053,39.1068,24.14,15.74,0.022,0.032,-0.025,19999
2240,2.8026e-45,1.47103e+11,-3.21377e+19,0,0.52,0.52,200,40,15.63,-0.46,321324,22.3053,39.1068,23.74,15.34,0.062,0.024,-0.067,20046
2241,2.8026e-45,1.47103e+11,-3.21377e+19,0,0.52,0.52,200,40,15.63,-0.46,321324,22.3053,39.1068,23.74,15.34,0.062,0.024,-0.067,20046
2242,2.8026e-45,1.47103e+11,-3.21377e+19,0,0.52,0.52,200,40,15.63,-0.46,321324,22.3053,39.1068,23.74,15.34,0.062,0.024,-0.067,20046
2243,2.8026e-45,1.47103e+11,-3.21377e+19,0,0.52,0.52,200,40,15.63,-0.46,321324,22.3053,39.1068,23.74,15.34,0.062,0.024,-0.067,20046
2244,2.8026e-45,1.47103e+11,-3.21377e+19,0,0.85,0.85,199,39,15.14,-0.76,321324,22.3053,39.1068,23.74,15.34,0.062,0.024,-0.067,20046
2245,2.8026e-45,1.47103e+11,-3.21377e+19,0,0.85,0.85,199,39,15.14,-0.76,321324,22.3053,39.1068,23.74,15.34,0.062,0.024,-0.067,20046
2246,2.8026e-45,1.47103e+11,-3.21377e+19,0,0.85,0.85,199,39,15.14,-0.76,321324,22.3053,39.1068,23.74,15.34,0.062,0.024,-0.067,20046
2247,2.8026e-45,1.47103e+11,-3.21377e+19,0,0.85,0.85,199,39,15.14,-0.76,321324,22.3053,39.1068,23.74,15.34,0.062,0.024,-0.067,20046
2248,2.8026e-45,1.47103e+11,-3.21377e+19,0,0.85,0.85,199,39,15.14,-0.76,321324,22.3053,39.1068,23.74,15.34,0.062,0.024,-0.067,20046
2249,2.8026e-45,1.47103e+11,-3.21377e+19,0,0.85,0.85,199,39,15.14,-0.76,321324,22.3053,39.1068,23.74,15.34,0.062,0.024,-0.067,20046
2250,2.8026e-45,1.47103e+11,-3.21377e+19,0,0.85,0.85,199,39,15.14,-0.76,321324,22.3053,39.1068,23.74,15.34,0.062,0.024,-0.067,20046
2251,2.8026e-45,1.47103e+11,-3.21377e+19,0,0.85,0.85,199,39,15.14,-0.76,322331,22.3053,39.1068,23.16,14.76,0.078,0.022,-0.086,20062
2252,2.8026e-45,1.47103e+11,-3.21377e+19,0,0.85,0.85,199,39,15.14,-0.76,322331,22.3053,39.1068,23.16,14.76,0.078,0.022,-0.086,20062
2253,2.8026e-45,1.47103e+11,-3.21377e+19,0,0.85,0.85,199,39,15.14,-0.76,322331,22.3053,39.1068,23.16,14.76,0.078,0.022,-0.086,20062
2254,2.8026e-45,1.47103e+11,-3.21377e+19,0,0.85,0.85,199,39,15.14,-0.76,322331,22.3053,39.1068,23.16,14.76,0.078,0.022,-0.086,20062
2255,2.8026e-45,1.47103e+11,-3.21377e+19,0,0.85,0.85,199,39,15.14,-0.76,322331,22.3053,39.1068,23.16,14.76,0.078,0.022,-0.086,20062
2256,2.8026e-45,1.47103e+11,-3.21377e+19,0,0.73,0.73,201,39,14.45,-0.93,322331,22.3053,39.1068,23.16,14.76,0.078,0.022,-0.086,20062
2257,2.8026e-45,1.47103e+11,-3.21377e+19,0,0.73,0.73,201,39,14.45,-0.93,322331,22.3053,39.1068,23.16,14.76,0.078,0.022,-0.086,20062
2258,2.8026e-45,1.47103e+11,-3.21377e+19,0,0.73,0.73,201,39,14.45,-0.93,322331,22.3053,39.1068,23.16,14.76,0.078,0.022,-0.086,20062
2259,2.8026e-45,1.47103e+11,-3.21377e+19,0,0.73,0.73,201,39,14.45,-0.93,322331,22.3053,39.1068,23.16,14.76,0.078,0.022,-0.086,20062
2260,2.8026e-45,1.47103e+11,-3.21377e+19,0,0.73,0.73,201,39,14.45,-0.93,322331,22.3053,39.1068,23.16,14.76,0.078,0.022,-0.086,20062
2261,2.8026e-45,1.47103e+11,-3.21377e+19,0,0.73,0.73,201,39,14.45,-0.93,322331,22.3053,39.1068,23.16,14.76,0.078,0.022,-0.086,20062
2262,2.8026e-45,1.47103e+11,-3.21377e+19,0,0.73,0.73,201,39,14.45,-0.93,323334,22.3053,39.1068,22.22,13.82,0.071,0.009,-0.127,20371
2263,2.8026e-45,1.47103e+11,-3.21377e+19,0,0.73,0.73,201,39,14.45,-0.93,323334,22.3053,39.1068,22.22,13.82,0.071,0.009,-0.127,20371
2264,2.8026e-45,1.47103e+11,-3.21377e+19,0,0.73,0.73,201,39,14.45,-0.93,323334,22.3053,39.1068,22.22,13.82,0.071,0.009,-0.127,20371
2265,2.8026e-45,1.47103e+11,-3.21377e+19,0,0.73,0.73,201,39,14.45,-0.93,323334,22.3053,39.1068,22.22,13.82,0.071,0.009,-0.127,20371
2266,2.8026e-45,1.47103e+11,-3.21377e+19,0,0.87,0.87,203,43,13.47,-1.01,323334,22.3053,39.1068,22.22,13.82,0.071,0.009,-0.127,20371
2267,2.8026e-45,1.47103e+11,-3.21377e+19,0,0.87,0.87,203,43,13.47,-1.01,323334,22.3053,39.1068,22.22,13.82,0.071,0.009,-0.127,20371
2268,2.8026e-45,1.47103e+11,-3.21377e+19,0,0.87,0.87,203,43,13.47,-1.01,323334,22.3053,39.1068,22.22,13.82,0.071,0.009,-0.127,20371
2269,2.8026e-45,1.47103e+11,-3.21377e+19,0,0.87,0.87,203,43,13.47,-1.01,323334,22.3053,39.1068,22.22,13.82,0.071,0.009,-0.127,20371
2270,2.8026e-45,1.47103e+11,-3.21377e+19,0,0.87,0.87,203,43,13.47,-1.01,323334,22.3053,39.1068,22.22,13.82,0.071,0.009,-0.127,20371
2271,2.8026e-45,1.47103e+11,-3.21377e+19,0,0.87,0.87,203,43,13.47,-1.01,323334,22.3053,39.1068,22.22,13.82,0.071,0.009,-0.127,20371
2272,2.8026e-45,1.47103e+11,-3.21377e+19,0,0.87,0.87,203,43,13.47,-1.01,324323,22.3053,39.1068,21.5,13.1,0.127,0.03,-0.053,20139
2273,2.8026e-45,1.47103e+11,-3.21377e+19,0,0.87,0.87,203,43,13.47,-1.01,324323,22.3053,39.1068,21.5,13.1,0.127,0.03,-0.053,20139
2274,2.8026e-45,1.47103e+11,-3.21377e+19,0,0.87,0.87,203,43,13.47,-1.01,324323,22.3053,39.1068,21.5,13.1,0.127,0.03,-0.053,20139
2275,2.8026e-45,1.47103e+11,-3.21377e+19,0,0.87,0.87,203,43,13.47,-1.01,324323,22.3053,39.1068,21.5,13.1,0.127,0.03,-0.053,20139
2276,2.8026e-45,1.47103e+11,-3.21377e+19,0,0.87,0.87,203,43,13.47,-1.01,324323,22.3053,39.1068,21.5,13.1,0.127,0.03,-0.053,20139
2277,2.8026e-45,1.47103e+11,-3.21377e+19,0,1.19,1.19,200,43,12.96,-0.32,324323,22.3053,39.1068,21.5,13.1,0.127,0.03,-0.053,20139
